Parent First Name,Parent Last Name,Parent Date of Birth,Parent National Insurance Number,Parent asylum seeker reference number
tom,XAOCVHBEVQ,01/01/1990,AB573378D,
fred,IWKNAFTLCM,01/01/1990,AB759919D,
dave,UYSQBVAKOK,32874,AB634896D,
,MSDSMIEUZI,01/01/1990,AB139603D,
,HMQVNXGJKI,32874,AB102679D,
,JXZKUUUTPN,32874,AB242418D,
,AIQVMFRVEE,32874,AB873456D,
,NOHKQZZDDN,32874,AB990826D,
,NFIBYUTHOT,32874,AB743280D,
,JIMAUQDPHZ,32874,AB558455D,
,ODCYEJWQJW,32874,AB144647D,
,FRWUEBZEGG,32874,AB307326D,
,NXECZDCZNZ,32874,AB999710D,
,QTCRQLKATI,32874,AB333383D,
,UPXPWEUCMJ,32874,AB945761D,
,FDCTMFXYOX,32874,AB987802D,
,MBJSCWLYZO,32874,AB671810D,
,KSMWSAGIRH,32874,AB801853D,
,FBTTNEPIZJ,32874,AB686342D,
,NDTXHLMUCC,32874,AB213994D,
,XUHLKFOAKP,32874,AB611415D,
,SDQFMZBYTZ,32874,AB365774D,
,KKEUDBIKAW,32874,AB567701D,
,GRGSGSCMGJ,32874,AB359588D,
,HLQDTLEHPL,32874,AB937720D,
,FWWRBPZTGB,32874,AB666443D,
,CIVIRFMKLS,32874,AB453959D,
,YVVWZBPLZP,32874,AB607462D,
,CFPOJQYWLN,32874,AB331196D,
,JYYGIZRMHP,32874,AB852084D,
,SXCSWCAPUT,32874,AB144411D,
,ILBNAIBOFU,32874,AB241811D,
,LYNSCBSBXT,32874,AB964213D,
,XSZQDEAGQB,32874,AB399524D,
,ELMAJSUXYC,32874,AB328479D,
,XMXPGPUAKM,32874,AB909428D,
,LTRIXRJFNM,32874,AB316550D,
,GFNQDTPLFM,32874,AB587813D,
,GROHHDBUVN,32874,AB740687D,
,KLDDVTLVRM,32874,AB307563D,
,WGCQDOWHKE,32874,AB715840D,
,DKNDXUDBVW,32874,AB380407D,
,SPYDNFYJKP,32874,AB467188D,
,AURMOHTJDU,32874,AB509908D,
,TCEHBOSHTN,32874,AB555368D,
,AJCUMFWKCM,32874,AB966050D,
,PQPWMSFOAR,32874,AB864207D,
,YAOBWURAVU,32874,AB739630D,
,NPWLYSEBXP,32874,AB211665D,
,ETOWLOQNHR,32874,AB777737D,
,UPEBNOXXGG,32874,AB701568D,
,CCRRSTJENH,32874,AB368999D,
,MRPKHQYHEI,32874,AB671123D,
,PZZNIHEMYD,32874,AB226565D,
,WBBYRNLUVV,32874,AB133873D,
,CYTEEXFLDQ,32874,AB644276D,
,VYPWIVSAXQ,32874,AB408231D,
,SYAWFOEWJW,32874,AB132150D,
,PUQDHYFEMR,32874,AB553283D,
,YSYSAHNQRX,32874,AB542742D,
,QKPJPEBTAX,32874,AB149362D,
,BZJSEKEWKH,32874,AB871194D,
,EARERPDFPD,32874,AB311919D,
,DFFDEOUUFP,32874,AB177641D,
,UJXLGFYEQC,32874,AB645706D,
,FVJSYIHUUH,32874,AB499360D,
,JTJDMHTVYW,32874,AB694193D,
,THHPVQHQNY,32874,AB933731D,
,MLASUCVJLC,32874,AB439310D,
,SOVUZCLJPZ,32874,AB377336D,
,HNINLZRMVM,32874,AB826968D,
,WJPEEFOJSW,32874,AB215964D,
,UWVUTNPUVS,32874,AB859552D,
,KWUPCNVLDE,32874,AB270149D,
,ESLXENFQDL,32874,AB746101D,
,IOAYBXZXOZ,32874,AB138838D,
,RDENMNRMND,32874,AB207169D,
